"","FPR","TPR","Accuracy","Method"
"114",0.0910165484633569,0.833487511563367,0.89070548712206,"Optimalrule"
"115",0.155437352245863,0.877890841813136,0.852631578947368,"Optimalrule"
"116",0.235815602836879,0.91581868640148,0.800895856662934,"Optimalrule"
"117",0.321513002364066,0.933395004625347,0.74020156774916,"Optimalrule"
"118",0.402777777777778,0.9472710453284,0.681970884658455,"Optimalrule"
"119",0.463947990543735,0.950971322849214,0.636506159014558,"Optimalrule"
"120",0.524527186761229,0.961147086031452,0.593057110862262,"Optimalrule"
"121",0.566784869976359,0.973172987974098,0.563941769316909,"Optimalrule"
"122",0.600768321513002,0.983348751156337,0.540649496080627,"Optimalrule"
"123",0.632683215130024,0.990749306197965,0.518253079507279,"Optimalrule"
"124",0.662529550827423,0.993524514338575,0.496304591265398,"Optimalrule"
"125",0.683215130023641,0.994449583718779,0.480851063829787,"Optimalrule"
"126",0.707446808510638,0.994449583718779,0.462486002239642,"Optimalrule"
"127",0.730496453900709,0.994449583718779,0.44501679731243,"Optimalrule"
"128",0.752364066193853,0.998149861239593,0.429339305711086,"Optimalrule"
"129",1,1,0.242105263157895,"Optimalrule"
"130",0,0.00185013876040703,0.758342665173572,"Randomforest"
"131",0,0.00185013876040703,0.758342665173572,"Randomforest"
"132",0,0.00370027752081406,0.758790593505039,"Randomforest"
"133",0,0.00832562442183164,0.759910414333707,"Randomforest"
"134",0,0.0101757631822387,0.760358342665174,"Randomforest"
"135",0,0.0166512488436633,0.761926091825308,"Randomforest"
"136",0,0.0203515263644773,0.762821948488242,"Randomforest"
"137",0,0.0240518038852914,0.763717805151176,"Randomforest"
"138",0,0.028677150786309,0.764837625979843,"Randomforest"
"139",0,0.0351526364477336,0.766405375139978,"Randomforest"
"140",0,0.0397779833487512,0.767525195968645,"Randomforest"
"141",0,0.0508788159111933,0.770212765957447,"Randomforest"
"142",0,0.0582793709528215,0.772004479283315,"Randomforest"
"143",0,0.0638297872340425,0.773348264277716,"Randomforest"
"144",0,0.0906567992599445,0.779843225083987,"Randomforest"
"145",0,0.0906567992599445,0.779843225083987,"Randomforest"
"146",0,0.0943570767807586,0.780739081746921,"Randomforest"
"147",0.000295508274231637,0.105457909343201,0.783202687569989,"Randomforest"
"148",0.000295508274231637,0.106382978723404,0.783426651735722,"Randomforest"
"149",0.000591016548463386,0.116558741905643,0.785666293393057,"Randomforest"
"150",0.000591016548463386,0.123959296947271,0.787458006718925,"Randomforest"
"151",0.000591016548463386,0.141535615171138,0.791713325867861,"Randomforest"
"152",0.000591016548463386,0.143385753931545,0.792161254199328,"Randomforest"
"153",0.000591016548463386,0.170212765957447,0.798656215005599,"Randomforest"
"154",0.000591016548463386,0.172987974098057,0.7993281075028,"Randomforest"
"155",0.000591016548463386,0.188714153561517,0.803135498320269,"Randomforest"
"156",0.000886524822695023,0.197039777983349,0.804927211646137,"Randomforest"
"157",0.00118203309692666,0.209990749306198,0.807838745800672,"Randomforest"
"158",0.00147754137115841,0.216466234967623,0.809182530795073,"Randomforest"
"159",0.00147754137115841,0.2368177613321,0.814109742441209,"Randomforest"
"160",0.00147754137115841,0.245143385753932,0.816125419932811,"Randomforest"
"161",0.00177304964539005,0.260869565217391,0.819708846584546,"Randomforest"
"162",0.00206855791962179,0.268270120259019,0.821276595744681,"Randomforest"
"163",0.00206855791962179,0.276595744680851,0.823292273236282,"Randomforest"
"164",0.00295508274231682,0.285846438482886,0.824860022396417,"Randomforest"
"165",0.00295508274231682,0.296947271045328,0.827547592385218,"Randomforest"
"166",0.00295508274231682,0.296947271045328,0.827547592385218,"Randomforest"
"167",0.00354609929078009,0.310823311748381,0.830459126539754,"Randomforest"
"168",0.00384160756501184,0.315448658649399,0.831354983202688,"Randomforest"
"169",0.00384160756501184,0.333950046253469,0.835834266517357,"Randomforest"
"170",0.00384160756501184,0.33950046253469,0.837178051511758,"Randomforest"
"171",0.00591016548463352,0.349676225716929,0.838073908174692,"Randomforest"
"172",0.00620567375886527,0.360777058279371,0.84053751399776,"Randomforest"
"173",0.00709219858156029,0.372802960222017,0.842777155655095,"Randomforest"
"174",0.00768321513002368,0.382053654024052,0.844568868980963,"Randomforest"
"175",0.00827423167848695,0.390379278445883,0.846136618141097,"Randomforest"
"176",0.0085697399527187,0.395004625346901,0.847032474804031,"Randomforest"
"177",0.00945626477541373,0.40518038852914,0.848824188129899,"Randomforest"
"178",0.0100472813238771,0.408880666049954,0.849272116461366,"Randomforest"
"179",0.0103427895981087,0.419056429232192,0.851511758118701,"Randomforest"
"180",0.0106382978723404,0.421831637372803,0.851959686450168,"Randomforest"
"181",0.0118203309692672,0.434782608695652,0.854199328107503,"Randomforest"
"182",0.0121158392434988,0.438482886216466,0.854871220604703,"Randomforest"
"183",0.0138888888888888,0.448658649398705,0.855991041433371,"Randomforest"
"184",0.0141843971631206,0.452358926919519,0.856662933930571,"Randomforest"
"185",0.0153664302600472,0.460684551341351,0.857782754759238,"Randomforest"
"186",0.015661938534279,0.466234967622572,0.858902575587906,"Randomforest"
